Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DayOfWeek,Quarter,Returns,Log_Returns,MA_7,MA_30,MA_90,Volatility_30,Momentum_5,Momentum_10,RSI_14,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,HL_Spread,HL_PCT,Volume_MA_30,Volume_Ratio,Target,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Total Debt,Net Debt,Ordinary Shares Number,Total Assets
2018-12-10 00:00:00-05:00,39.259807055498264,40.47091174724844,38.86245065612961,40.35432434082031,248104000,0.0,0.0,2018,12,10,0,4,0.0065880019121913325,0.00656639586944667,41.89242499215262,43.69055519104004,41.36750810411241,0.03397073942242453,-2.136688232421875,-0.6400489807128906,28.894032805429873,-0.5725936864158214,-0.13459517508751478,43.26633434295654,47.79701923091767,38.73564945499541,1.6084610911188264,3.9858456742683996,162604533.33333334,1.5258123184757455,40.12353515625,,,,,,,
2018-12-11 00:00:00-05:00,40.84448788722453,40.87541739619939,39.73569458027518,40.12353515625,189126800,0.0,0.0,2018,12,11,1,4,-0.005719069476201266,-0.005735485975359274,41.52124241420201,43.645494079589845,41.371054882473416,0.03395853152107439,-3.8522071838378906,-1.4252433776855469,32.76659804566445,-0.6846216704922838,-0.2446004741684686,42.839949417114255,46.80685767137067,38.87304116285784,1.139722815924209,2.8405343933077534,163781560.0,1.154750266147178,40.2353630065918,,,,,,,
2018-12-12 00:00:00-05:00,40.54467985382016,40.906347041677016,40.21632750926776,40.2353630065918,142510800,0.0,0.0,2018,12,12,2,4,0.002787088672678406,0.002783211942566928,41.199006761823384,43.59937464396159,41.37626084221734,0.03395599642809464,-1.8059425354003906,-1.2229881286621094,40.52433697329848,-0.7556701865307147,-0.34681441664091783,42.541694259643556,46.33807453154985,38.74531398773726,0.6900195324092593,1.7149578898945508,164745066.66666666,0.8650383461153719,40.6755485534668,,,,,,,
2018-12-13 00:00:00-05:00,40.566098976986986,41.06101103888062,40.34243641115861,40.6755485534668,127594400,0.0,0.0,2018,12,13,3,4,0.010940265328360121,0.010880853553257065,40.7275505065918,43.56910489400228,41.38799883524577,0.034021018309835505,-0.8970184326171875,-2.377002716064453,43.25700311744143,-0.7676088356815498,-0.43097330044904425,42.288528251647946,45.855573462856924,38.72148304043897,0.7185746277220133,1.7666009513736942,165826413.33333334,0.7694455752565674,39.374019622802734,,,,,,,
2018-12-14 00:00:00-05:00,40.21156325873819,40.230598753946886,39.32643270010572,39.374019622802734,162814800,0.0,0.0,2018,12,14,4,4,-0.03199782122060979,-0.03252094090293792,40.346509660993306,43.50831807454427,41.384467951456706,0.034479944080533446,-0.7161903381347656,-3.3477935791015625,42.2981716484755,-0.8720404688221421,-0.5191867341236639,42.03488559722901,45.67638102827731,38.3933901661807,0.9041660538411662,2.296351915559912,167026440.0,0.9747845909905043,39.00758361816406,,,,,,,
2018-12-17 00:00:00-05:00,39.366868942741405,40.05689180435629,38.71967683905697,39.00758361816406,177151600,0.0,0.0,2018,12,17,0,4,-0.00930654294758504,-0.009350119393170812,39.98008346557617,43.420331446329754,41.37673517862956,0.03443763420553899,-1.34674072265625,-3.483428955078125,37.70148776479337,-0.9731537034895439,-0.6099801279968399,41.708076858520506,45.193493471070575,38.22266024597044,1.3372149652993173,3.428089723242013,169761613.33333334,1.043531552991053,39.51441192626953,,,,,,,
2018-12-18 00:00:00-05:00,39.35023393206599,39.86179978211614,39.11467372768916,39.51441192626953,135366000,0.0,0.0,2018,12,18,1,4,0.012993071118341692,0.012909385281003327,39.897826603480745,43.32538731892904,41.36603864034017,0.0343671818029193,-0.6091232299804688,-4.461330413818359,40.95649680136066,-1.0008526553203794,-0.6881546334615478,41.38138771057129,44.338791904355034,38.423983516787544,0.7471260544269782,1.890768501935574,169982453.33333334,0.7963527843344458,38.28187942504883,,,,,,,
2018-12-19 00:00:00-05:00,39.49774385397237,39.842753541024855,37.85358991014101,38.28187942504883,196189200,0.0,0.0,2018,12,19,2,4,-0.031191973792258465,-0.031688802087500634,39.60176304408482,43.00814361572266,41.344173685709634,0.024455967928077506,-1.9534835815429688,-3.7594261169433594,27.03325707153978,-1.109470066050804,-0.772417719979399,41.084320831298825,44.033383881885094,38.13525778071256,1.9891636308838443,5.196097111110702,167700266.66666666,1.1698800717470534,37.315860748291016,,,,,,,
2018-12-20 00:00:00-05:00,38.16529851677097,38.572174571532805,36.95181547170675,37.315860748291016,259092000,0.0,0.0,2018,12,20,3,4,-0.025234358690491066,-0.02555820476496379,39.20066670009068,42.641469192504886,41.31009051005046,0.024431915638639744,-3.3596878051757812,-4.256706237792969,25.475031964153075,-1.2589869624493204,-0.8697315684733834,40.84459819793701,44.19469365480154,37.49450274107248,1.6203590998260538,4.342279843833597,172085613.33333334,1.5055994221790843,35.86443328857422,,,,,,,
2018-12-21 00:00:00-05:00,37.32299599944741,37.632316466814686,35.602703378224795,35.86443328857422,382978400,0.0,0.0,2018,12,21,4,4,-0.038895725051264374,-0.03967236918782896,38.57624816894531,42.17756881713867,41.260010655721025,0.023923059673426113,-3.5095863342285156,-4.225776672363281,22.934954196651205,-1.4775657873264336,-0.9912984122439935,40.53468322753906,44.500515138626284,36.56885131645184,2.0296130885898904,5.659124939349006,180394973.33333334,2.122999288302416,34.93647384643555,,,,,,,
